Country,Limiting Magnitude,Date,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Park
United States - Indiana,4,2016-02-07,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2010-03-15,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-27,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2016-04-03,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Maine,4,2010-03-09,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Maryland,3,2014-01-29,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Massachusetts,4,2017-11-15,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Michigan,5,2008-03-07,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Missouri,3,2013-05-08,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Nevada,3,2010-03-13,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - New Hampshire,3,2009-03-26,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - New Jersey,4,2008-03-05,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - New Mexico,3,2015-03-15,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - New York,4,2007-03-14,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - North Carolina,5,2007-03-11,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Ohio,4,2012-04-16,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Oklahoma,5,2011-02-24,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Oregon,3,2015-04-18,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Pennsylvania,5,2011-02-23,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - South Carolina,4,2014-02-20,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Tennessee,2,2014-11-14,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Texas,6,2009-03-19,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Utah,-999,2014-05-20,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Virginia,5,2010-03-03,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Washington,3,2013-03-31,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Wisconsin,4,2012-03-13,36.0443,-111.82600000000001,36.107,-112.113,Grand Canyon National Park
United States - Arizona,6,2014-05-21,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Arkansas,3,2014-03-23,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - California,6,2015-02-06,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Colorado,5,2006-03-31,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Connecticut,4,2011-02-27,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Florida,5,2007-03-12,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Georgia,4,2011-02-21,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Illinois,4,2012-02-19,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Indiana,4,2015-04-13,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Iowa,2,2011-03-22,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Kansas,3,2009-03-25,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
United States - Louisiana,2,2007-03-09,36.0132,-111.867,36.107,-112.113,Grand Canyon National Park
